x,IR_MEAN,IR_MEANPLUSSD,ER_MEAN,ER_MEANPLUSSD
-0.0102,0.00138,0.00485,0.00569,-0.00725
-0.0027,0.00242,0.00696,0.00833,-0.00262
0.0109,0.00428,0.01074,0.01305,0.00569
1.9127,0.26536,0.54023,0.67601,1.17011
1.9142,0.26557,0.54065,0.67608,1.17105
1.9203,0.26565,0.54236,0.67638,1.1748
1.9232,0.26569,0.54317,0.67653,1.17493
3.8658,0.29164,0.60811,0.77257,1.26322
3.8673,0.29166,0.60816,0.77264,1.26304
3.8843,0.29188,0.60873,0.77166,1.2609
3.9307,0.29017,0.61028,0.76899,1.25508
7.9878,0.13997,0.22121,0.53537,0.74604
7.9916,0.13983,0.22084,0.53522,0.74555
7.9976,0.13961,0.22027,0.53499,0.74525
8.0195,0.13941,0.21817,0.53414,0.74415
11.8547,0.10491,0.16735,0.38526,0.55108
11.8864,0.10462,0.16693,0.38452,0.54948
11.8979,0.10452,0.16681,0.38425,0.54891
11.8994,0.10451,0.1668,0.38422,0.54883
16.0174,0.08532,0.12432,0.28776,0.39985
16.028,0.08527,0.12428,0.28752,0.39947
16.0377,0.08522,0.12424,0.28747,0.39912
16.0419,0.08521,0.12423,0.28744,0.39897
23.857,0.06388,0.09326,0.24658,0.36228
23.8574,0.06387,0.09326,0.24658,0.36228
23.8782,0.06382,0.09317,0.24652,0.36219
23.8887,0.06381,0.09313,0.24649,0.36215
47.9566,0.03863,0.05338,0.17779,0.2634
47.9916,0.03859,0.05332,0.17774,0.26325
47.9988,0.03858,0.05331,0.17773,0.26324
48.0254,0.03855,0.0533,0.17769,0.26317
71.9078,0.02701,0.04192,0.14216,0.20711
71.9188,0.027,0.04191,0.14215,0.20708
71.9611,0.02698,0.04189,0.14208,0.20698
71.9728,0.02698,0.04188,0.14207,0.20696
