x,IR_MEAN,IR_MEANPLUSSD,ER_MEAN,ER_MEANPLUSSD
1.8675,9.64,15.38,6.02,16.68
1.9098,9.66,15.61,6.4,16.96
1.9219,9.66,15.68,6.51,17.04
1.934,9.67,15.74,6.62,17.12
3.8861,10.53,26.19,24.27,30.08
3.9163,10.54,26.35,25.93,30.28
3.9284,10.54,26.42,26.59,31.93
3.9284,10.54,26.42,26.59,31.93
7.9048,18.25,24.31,244.4,574.91
7.9052,18.25,24.31,244.39,574.96
7.9164,18.27,24.29,243.93,576.48
7.9294,18.3,24.26,243.4,574.95
11.9424,11.92,17.07,79.26,105.98
11.9544,11.9,17.05,81.04,104.57
11.9546,11.9,17.05,81.06,104.64
11.9546,11.9,17.05,81.06,104.64
15.9302,193.01,498,670.08,1837.29
15.9305,193.03,498.03,670.07,1837.42
15.9524,194.02,497.13,669.41,1846.93
15.9673,194.7,496.51,668.96,1845.43
23.8964,92.58,168.83,429.45,1046.39
23.9331,92.11,167.31,428.98,1042.69
23.9557,91.82,167.35,428.68,1040.4
23.9574,91.8,167.35,428.66,1040.35
47.9028,107.01,208.92,119.18,260.35
47.9149,106.99,208.94,119.02,259.96
47.9781,106.87,209.05,119.95,257.9
47.9872,106.85,209.01,120.09,257.61
71.8953,60.59,120.85,471.28,903.94
71.9081,60.56,120.8,471.46,904.28
71.9342,60.51,120.71,471.85,904.99
71.9693,60.44,120.58,472.36,905.94
