x,SR,IR
2.013,14.902,14.107
2.037,15.517,14.283
3.978,65.957,28.733
4.073,68.418,28.977
8.004,90.32,39.09
12.03,113.039,33.904
12.124,112.934,33.782
23.964,99.739,28.325
23.988,99.712,28.536
27.966,94.107,64.048
27.99,94.085,64.26
35.994,86.667,60.176
36.018,86.645,60.165
47.976,86.941,54.534
48,86.942,54.719
52.026,82.487,86.237
52.073,82.469,86.608
59.982,79.378,88.724
60.006,79.369,88.7
72.012,86.719,76.733
95.976,77.197,79.48
96.024,77.179,79.488
119.917,81.596,83.3
119.941,81.601,83.304
