Sample,Time,MEAN,SD
AM,12,4169.55,4138.4
AM,24,6410.35,3205.5999999999985
AM,48,23078.3,10029.600000000002
AM,72,18856.75,8568.805018204115
AM,96,15867.75,2177.5
ELF,12,1404.4,0
ELF,24,1986.6999999999998,863.3
ELF,48,2452,753.1000000000008
ELF,72,1006.25,517.8221316243639
ELF,96,874.15,420.39999999999986
SERUM,12,1170.3000000000002,1505.8999999999996
SERUM,24,608.1500000000001,257.69999999999993
SERUM,48,1747,84.59999999999991
SERUM,72,979.1,103.49094163258941
SERUM,96,467.2,166.0999999999999
