x,Bronchial_Mean,Bronchial_MeanSD
6.052,0.33997,0.46563
6.076,0.61992,0.46748
11.945,0.72643,0.73294
11.946,0.72643,0.73294
59.905,0.54698,0.67349
60.064,0.54549,0.67169
108.094,0.18952,0.19165
108.141,0.18939,0.1915
156.215,0.14956,0.18094
156.248,0.14956,0.18096
204.411,0.13107,0.16105
204.522,0.13102,0.16096
