x,Lung_Mean,Lung_MeanSD
6.172,11.068,16.252
6.211,11.14,19.814
12.137,17.032,22.049
12.15,17.034,22.052
60.2,18.325,26.421
60.239,18.324,26.415
108.189,14.304,14.53
108.262,14.293,14.521
155.948,7.1733,11.182
155.99,7.1681,11.176
203.91,2.9284,2.9911
203.912,2.9283,2.9909
