x,SR,IR
1.998,29.156,26.344
2.001,29.223,26.361
4.033,82.076,39.671
4.132,84.644,39.708
8.016,99.787,41.153
8.018,99.793,41.148
12.046,91.457,27.1
12.102,91.318,26.905
24.008,61.836,17.391
24.025,61.825,17.377
28.016,59.338,55.591
28.037,59.325,55.541
36.012,42.934,36.375
36.058,42.918,36.264
47.955,38.841,27.084
48.016,38.812,27.037
51.984,36.919,69.2
51.993,36.914,69.295
59.96,31.743,46.604
60.023,31.717,46.426
71.961,26.74,36.179
72.007,26.721,36.156
95.955,21.076,24.072
95.997,21.068,24.051
119.925,16.268,20.385
119.962,16.261,20.379
