x,PMLC_LINE,MUSC_LINE,PLAS_LINE,SUBC_LINE
168.321,8587,4.9757,10.832,2.487
168.906,8534,4.9382,10.773,2.4695
172.174,8179,4.7304,10.441,2.3724
172.699,8120,4.6969,10.387,2.3569
174.1,7962,4.6083,10.24,2.316
177.953,7552,4.3864,9.835,2.2062
179.88,7383,4.2962,9.633,2.1532
183.732,7121,4.1455,9.242,2.0519
185.659,6978,4.0754,9.054,2.0039
189.512,6626,3.9178,8.702,1.9135
191.197,6470,3.8347,8.561,1.8763
192.116,6402,3.7874,8.489,1.8567
193.365,6350,3.7238,8.396,1.8307
195.291,6239,3.633,8.263,1.7921
197.217,6115,3.5572,8.143,1.755
201.07,5875,3.4335,7.929,1.6849
202.756,5779,3.3821,7.839,1.6557
206.375,5589,3.2623,7.632,1.5958
206.849,5563,3.2449,7.602,1.5882
208.535,5462,3.1788,7.489,1.5616
212.629,5172.5,3.009,7.19,1.4994
214.314,5064.7,2.9423,7.061,1.4747
219.853,4796.6,2.738,6.632,1.3969
219.876,4795.6,2.7372,6.63,1.3966
220.028,4789.3,2.7319,6.619,1.3945
220.094,4786.6,2.7296,6.614,1.3936
